Question;Reponse
You need to receive a security alert when a user attempts to sign in from a location that was never used by the other users in your organization to sign in. Which anomaly detection policy should you use? @-A. Impossible travel  @-B.  Activity from anonymous IP addresses @-C.  Activity from infrequent country @-D.  Malware detection ; @-C.  Activity from infrequent country
You have a M365 subscription that uses MDefender for Office 365. You have Microsoft SharePoint Online sites that contain sensitive documents. The documents contain customer account numbers that each consists of 32 alphanumeric characters. You need to create a data loss prevention (DLP) policy to protect the sensitive documents. What should you use to detect which documents are sensitive? @-A. SharePoint search @-B.  a hunting query in M365 Defender @-C.  Azure Information Protection @-D.  RegEx pattern matching ; @-C.  Azure Information Protection 
Your company uses MDefender for Endpoint. The company has Microsoft Word documents that contain macros. The documents are used frequently on the devices of the company"s accounting team. You need to hide false positive in the Alerts queue, while maintaining the existing security posture. Which three actions should you perform? Each correct answer presents part of the solution. @-A. Resolve the alert automatically. @-B.  Hide the alert. @-C.  Create a suppression rule scoped to any device. @-D.  Create a suppression rule scoped to a device group. @-E.  Generate the alert. ; B - D - E
You are investigating a potential attack that deploys a new ransomware strain. You have three custom device groups. The groups contain devices that store highly sensitive information. You plan to perform automated actions on all devices. You need to be able to temporarily group the machines to perform actions on the devices. Which three actions should you perform? @-A. Assign a tag to the device group. @-B.  Add the device users to the admin role. @-C.  Add a tag to the machines. @-D.  Create a new device group that has a rank of 1. @-E.  Create a new admin role. @-F.  Create a new device group that has a rank of 4. ; A - C - D
You are configuring MDefender for Identity integration with Active Directory. From the MDefender for identity portal, you need to configure several accounts for attackers to exploit. Solution: From Entity tags, you add the accounts as Honeytoken accounts. Does this meet the goal? Yes or No ? ; Yes
You are configuring MDefender for Identity integration with Active Directory. From the MDefender for identity portal, you need to configure several accounts for attackers to exploit. Solution: From Azure AD Identity Protection, you configure the sign-in risk policy. Does this meet the goal? @-A. Yes @-B.  No ; No
You are configuring MDefender for Identity integration with Active Directory. From the MDefender for identity portal, you need to configure several accounts for attackers to exploit. Solution: You add the accounts to an Active Directory group and add the group as a Sensitive group. Does this meet the goal? Yes or No ? ; No
You implement Safe Attachments policies in MDefender for Office 365. Users report that email messages containing attachments take longer than expected to be received. You need to reduce the amount of time it takes to deliver messages that contain attachments without compromising security. The attachments must be scanned for malware, and any messages that contain malware must be blocked. What should you configure in the Safe Attachments policies? @-A. Dynamic Delivery @-B.  Replace @-C.  Block and Enable redirect @-D.  Monitor and Enable redirect ; @-A. Dynamic Delivery
You receive a security bulletin about a potential attack that uses an image file. You need to create an indicator of compromise (IoC) in MDefender for Endpoint to prevent the attack. Which indicator type should you use? @-A. a URL/domain indicator that has Action set to Alert only @-B.  a URL/domain indicator that has Action set to Alert and block @-C.  a file hash indicator that has Action set to Alert and block @-D.  a certificate indicator that has Action set to Alert and block ; @-C.  a file hash indicator that has action set to Alert and block.
Your company deploys the following services: MDefender for Identity, MDefender for Endpoint ,MDefender for Office 365. You need to provide a security analyst with the ability to use the M365 security center. The analyst must be able to approve and reject pending actions generated by MDefender for Endpoint. The solution must use the principle of least privilege. Which two roles should assign to the analyst? @-A. the Compliance Data Administrator in AAD @-B.  the Active remediation actions role in MDefender for Endpoint @-C.  the Security Administrator role in AAD @-D.  the Security Reader role in AAD ; B - D
You need to configure Microsoft Cloud App Security to generate alerts and trigger remediation actions in response to external sharing of confidential files. Which two actions should you perform in the Cloud App Security portal?  @-A. From Settings, select Information Protection, select AIP, and then select Only scan files for Azure Information Protection classification labels and content inspection warnings from this tenant. @-B.  Select Investigate files, and then filter App to Office 365. @-C.  Select Investigate files, and then select New policy from search. @-D.  From Settings, select Information Protection, select Azure Information Protection, and then select Automatically scan new files for Azure Information Protection classification labels and content inspection warnings. @-E.  From Settings, select Information Protection, select Files, and then enable file monitoring. @-F.  Select Investigate files, and then filter File Type to Document. ; D - E 
